,ts_code,name,industry,market
0,000001.SZ,平安银行,银行,主板
1,000002.SZ,万科A,全国地产,主板
2,000004.SZ,国农科技,生物制药,主板
3,000005.SZ,世纪星源,环境保护,主板
4,000006.SZ,深振业A,区域地产,主板
5,000007.SZ,全新好,酒店餐饮,主板
6,000008.SZ,神州高铁,运输设备,主板
7,000009.SZ,中国宝安,综合类,主板
8,000010.SZ,*ST美丽,建筑工程,主板
9,000011.SZ,深物业A,区域地产,主板
10,000012.SZ,南玻A,玻璃,主板
11,000014.SZ,沙河股份,全国地产,主板
12,000016.SZ,深康佳A,家用电器,主板
13,000017.SZ,*ST中华A,文教休闲,主板
14,000019.SZ,深粮控股,其他商业,主板
15,000020.SZ,深华发A,元器件,主板
16,000021.SZ,深科技,IT设备,主板
17,000023.SZ,深天地A,其他建材,主板
18,000025.SZ,特力A,汽车服务,主板
19,000026.SZ,飞亚达,其他商业,主板
20,000027.SZ,深圳能源,火力发电,主板
21,000028.SZ,国药一致,医药商业,主板
22,000029.SZ,深深房A,区域地产,主板
23,000030.SZ,富奥股份,汽车配件,主板
24,000031.SZ,大悦城,全国地产,主板
25,000032.SZ,深桑达A,元器件,主板
26,000034.SZ,神州数码,综合类,主板
27,000035.SZ,中国天楹,环境保护,主板
28,000036.SZ,华联控股,全国地产,主板
29,000037.SZ,深南电A,火力发电,主板
30,000038.SZ,深大通,广告包装,主板
31,000039.SZ,中集集团,轻工机械,主板
32,000040.SZ,东旭蓝天,新型电力,主板
33,000042.SZ,中洲控股,全国地产,主板
34,000045.SZ,深纺织A,元器件,主板
35,000046.SZ,泛海控股,多元金融,主板
36,000048.SZ,京基智农,饲料,主板
37,000049.SZ,德赛电池,电气设备,主板
38,000050.SZ,深天马A,元器件,主板
39,000055.SZ,方大集团,其他建材,主板
40,000056.SZ,皇庭国际,房产服务,主板
41,000058.SZ,深赛格,元器件,主板
42,000059.SZ,华锦股份,石油加工,主板
43,000060.SZ,中金岭南,铅锌,主板
44,000061.SZ,农产品,农业综合,主板
45,000062.SZ,深圳华强,批发业,主板
46,000063.SZ,中兴通讯,通信设备,主板
47,000065.SZ,北方国际,建筑工程,主板
48,000066.SZ,中国长城,IT设备,主板
49,000068.SZ,华控赛格,环境保护,主板
50,000069.SZ,华侨城A,旅游景点,主板
51,000070.SZ,特发信息,通信设备,主板
52,000078.SZ,海王生物,医药商业,主板
53,000088.SZ,盐田港,港口,主板
54,000089.SZ,深圳机场,机场,主板
55,000090.SZ,天健集团,建筑工程,主板
56,000096.SZ,广聚能源,石油贸易,主板
57,000099.SZ,中信海直,空运,主板
58,000100.SZ,TCL科技,元器件,主板
59,000150.SZ,宜华健康,医疗保健,主板
60,000151.SZ,中成股份,商贸代理,主板
61,000153.SZ,丰原药业,化学制药,主板
62,000155.SZ,川能动力,新型电力,主板
63,000156.SZ,华数传媒,影视音像,主板
64,000157.SZ,中联重科,工程机械,主板
65,000158.SZ,常山北明,软件服务,主板
66,000159.SZ,国际实业,石油贸易,主板
67,000166.SZ,申万宏源,证券,主板
68,000301.SZ,东方盛虹,化纤,主板
69,000333.SZ,美的集团,家用电器,主板
70,000338.SZ,潍柴动力,汽车配件,主板
71,000400.SZ,许继电气,电气设备,主板
72,000401.SZ,冀东水泥,水泥,主板
73,000402.SZ,金融街,全国地产,主板
74,000403.SZ,双林生物,生物制药,主板
75,000404.SZ,长虹华意,专用机械,主板
76,000407.SZ,胜利股份,供气供热,主板
