,TS代码,法人代表,总经理,董秘,城市
0,002165.SZ,芮益民,芮益民,王玉生,南京市
1,002192.SZ,吕向阳,吕向阳,陈新华,广州市
2,002199.SZ,王皓,王皓,石佳霖,金华市
3,002273.SZ,林敏,王震宇,熊波,台州市
4,002396.SZ,黄奕豪,阮加勇,刘万里,福州市
5,002329.SZ,黄嘉棣,陈易一,王婉芳,南宁市
6,002215.SZ,高焕森,高焕森,莫谋钧,深圳市
7,603861.SH,胡德兆,胡明聪,胡德兆,广州市
8,002490.SZ,杨云龙,刘云龙,赵晓潼,潍坊市
9,002240.SZ,周祎,邓伟军,姚婧,深圳市
10,002252.SZ,陈杰,陈杰,刘峥,上海市
11,002265.SZ,谢力,董绍杰,王家兴,昆明市
12,002186.SZ,白凡,周延龙,唐颖,北京市
13,002166.SZ,秦本军,秦本军,罗华阳,桂林市
14,002228.SZ,许晓光,许晓光,康春华,厦门市
15,002544.SZ,吉树新,吉树新,叶桂梁,广州市
16,002227.SZ,廖晓霞,廖晓霞,吴云虹,深圳市
17,002244.SZ,戚金兴,朱慧明,李渊,杭州市
18,002239.SZ,张永明,丁涛,窦海涛,南通市
19,002238.SZ,郑鼎文,张育民,林杨,深圳市
20,002247.SZ,陈智剑,,魏晓静,杭州市
21,002176.SZ,梁云,梁云,闵银章,宜春市
22,002237.SZ,曲胜利,曲胜利,夏晓波,烟台市
23,002253.SZ,游志胜,张自力,吴俊杰,成都市
24,002246.SZ,邓维平,邓维平,商红,泸州市
25,002234.SZ,孙希民,孙宪法,张东明,烟台市
26,002195.SZ,陈于冰,陈于冰,邱俊祺,上海市
27,002164.SZ,宋济隆,宋和涛,许行,宁波市
28,002397.SZ,姜天武,黄惠华,李军,长沙市
29,002194.SZ,杨红,夏勇,彭娜,武汉市
30,002272.SZ,罗永忠,罗永忠,李想,自贡市
31,002171.SZ,姜纯,姜纯,王刚,芜湖市
32,002175.SZ,张群,张群,王宋琪,桂林市
33,002275.SZ,邹节明,王许飞,邹洵,桂林市
34,002266.SZ,孙毅,潘承东,房振武,杭州市
35,002304.SZ,王耀,钟雨,丛学年,宿迁市
36,002189.SZ,王志亮,李智超,李宗杰,南阳市
37,601399.SH,韩晓军,王平,刘华学,德阳市
38,002223.SZ,吴群,吴群,王瑞洁,镇江市
39,002262.SZ,孙彭生,孙家权,段保州,徐州市
40,002259.SZ,赖旭日,陆昊,施运奇,成都市
