,TS代码,股东名称,持股比例
42,000001.SZ,中国平安保险(集团)股份有限公司-集团本级-自有资金,49.56
2,000001.SZ,香港中央结算有限公司(陆股通),9.81
54,000001.SZ,中国平安人寿保险股份有限公司-自有资金,6.11
99,000001.SZ,中国证券金融股份有限公司,2.5
62,000001.SZ,中国平安人寿保险股份有限公司-传统-普通保险产品,2.27
91,000002.SZ,深圳市地铁集团有限公司,29.38
8,000002.SZ,香港中央结算(代理人)有限公司,16.3
99,000002.SZ,深圳市钜盛华股份有限公司,8.39
89,000002.SZ,安邦人寿保险股份有限公司-保守型投资组合,6.73
0,000002.SZ,香港中央结算有限公司(陆股通),4.91
81,000004.SZ,深圳中农大科技投资有限公司,28.43
5,000004.SZ,彭瀛,9.88
6,000004.SZ,北京中关村大河资本投资管理中心(有限合伙)-北京中关村并购母基金投资中心(有限合伙),9.23
40,000004.SZ,北京中关村并购母基金投资中心(有限合伙),9.23
37,000004.SZ,深圳市睿鸿置业发展有限公司,7.88
58,000005.SZ,中国投资有限公司,17.41
95,000005.SZ,(香港)中国投资有限公司,17.41
11,000005.SZ,长安国际信托股份有限公司,5.02
26,000005.SZ,深圳市博睿意碳源科技有限公司,4.53
93,000005.SZ,陈栩,1.99
49,000006.SZ,深圳市人民政府国有资产监督管理委员会,21.96
48,000006.SZ,深圳市资本运营集团有限公司,14.09
53,000006.SZ,深圳市远致投资有限公司,14.09
27,000006.SZ,中央汇金资产管理有限责任公司,3.51
28,000006.SZ,香港中央结算有限公司(陆股通),1.13
32,000007.SZ,汉富控股有限公司,21.65
34,000007.SZ,深圳市博恒投资有限公司,10.82
70,000007.SZ,陈卓婷,3.89
25,000007.SZ,林昌珍,2.83
85,000007.SZ,北京朴和恒丰投资有限公司,2.36
7,000008.SZ,中国国投高新产业投资有限公司,25.62
67,000008.SZ,北京市海淀区国有资产投资经营有限公司,12.59
97,000008.SZ,王志全,7.23
98,000008.SZ,杭州霁云投资管理合伙企业(有限合伙),5.02
86,000008.SZ,西藏德创信息咨询有限公司,3.6
50,000009.SZ,深圳市富安控股有限公司,11.91
2,000009.SZ,韶关市高创企业管理有限公司,10.0
26,000009.SZ,深圳市宝安区投资管理有限公司,5.57
39,000009.SZ,李松强,4.95
36,000009.SZ,香港中央结算有限公司(陆股通),1.27
58,000010.SZ,佳源创盛控股集团有限公司,14.57
94,000010.SZ,深圳五岳乾坤投资有限公司,9.86
38,000010.SZ,红信鼎通资本管理有限公司,5.43
35,000010.SZ,江阴鑫诚业展投资管理企业(有限合伙),4.77
43,000010.SZ,保达投资管理(平潭)有限公司,4.63
51,000011.SZ,深圳市投资控股有限公司,63.82
92,000011.SZ,深圳市建设投资控股公司,54.33
97,000011.SZ,深圳市投资管理公司,9.49
38,000011.SZ,中国东方资产管理股份有限公司,5.87
6,000011.SZ,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),1.85
72,000012.SZ,前海人寿保险股份有限公司-海利年年,15.51
68,000012.SZ,前海人寿保险股份有限公司-万能型保险产品,3.94
74,000012.SZ,深圳市钜盛华股份有限公司,2.88
5,000012.SZ,中山润田投资有限公司,2.82
6,000012.SZ,香港中央结算有限公司(陆股通),2.18
99,000014.SZ,深业沙河(集团)有限公司,34.02
10,000014.SZ,李剑霆,1.51
93,000014.SZ,中科招商投资管理集团股份有限公司,1.45
5,000014.SZ,陆平,1.19
8,000014.SZ,张沐城,1.09
64,000016.SZ,华侨城集团有限公司,21.75
90,000016.SZ,中信证券经纪(香港)有限公司,7.56
34,000016.SZ,国元证券经纪(香港)有限公司,2.47
19,000016.SZ,HOLYTIMEGROUPLIMITED,2.38
11,000016.SZ,HOLY TIME GROUP LIMITED,2.38
56,000017.SZ,深圳市国晟能源投资发展有限公司,11.52
45,000017.SZ,大华继显(香港)有限公司,2.89
33,000017.SZ,国信证券(香港)经纪有限公司,2.52
17,000017.SZ,申万宏源证券(香港)有限公司,1.51
48,000017.SZ,李惠丽,0.71
50,000019.SZ,深圳市食品集团有限公司,63.79
81,000019.SZ,深圳市福德国有资本运营有限公司,63.79
26,000019.SZ,深圳市食品物资集团有限公司,63.79
82,000019.SZ,深圳市农产品集团股份有限公司,8.23
90,000019.SZ,深圳市农产品股份有限公司,8.23
69,000020.SZ,武汉中恒新科技产业集团有限公司,42.13
1,000020.SZ,武汉中恒集团,42.13
38,000020.SZ,赛格(香港)有限公司,5.85
61,000020.SZ,GOOD HOPE CORNER INVESTMENTS LTD,4.49
14,000020.SZ,GOOD HOPE CORNER INVESTMENTS LTD.,3.43
95,000021.SZ,中国电子信息产业集团有限公司,44.51
1,000021.SZ,中国电子有限公司,36.61
32,000021.SZ,博旭(香港)有限公司,7.25
8,000021.SZ,翁仁源,3.4
7,000021.SZ,香港中央结算有限公司(陆股通),1.96
0,000023.SZ,广东君浩股权投资控股有限公司,27.39
1,000023.SZ,深圳科杰斯投资有限公司,10.0
95,000023.SZ,深圳市投资控股有限公司,8.91
4,000023.SZ,佳兆业捷信物流(深圳)有限公司,5.0
83,000023.SZ,深圳市东部投资发展股份有限公司,3.07
29,000025.SZ,深圳市特发集团有限公司,49.09
99,000025.SZ,深圳远致富海珠宝产业投资企业(有限合伙),20.88
44,000025.SZ,中信银行股份有限公司-建信中证500指数增强型证券投资基金,0.65
69,000025.SZ,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,0.41
40,000025.SZ,创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托,0.37
4,000026.SZ,中航国际控股有限公司,38.07
25,000026.SZ,中航国际控股股份有限公司,38.06
33,000026.SZ,杨祖贵,4.47
42,000026.SZ,杨三彩,2.34
95,000026.SZ,全国社保基金一一四组合,2.18
36,000027.SZ,深圳市人民政府国有资产监督管理委员会,47.82
79,000027.SZ,华能国际电力股份有限公司,25.02
85,000027.SZ,中国证券金融股份有限公司,2.28
70,000027.SZ,中信信托成泉汇涌八期金融投资集合资金信托计划,1.26
3,000027.SZ,深圳市资本运营集团有限公司,0.95
0,000028.SZ,国药控股股份有限公司,56.06
42,000028.SZ,香港中央结算有限公司(陆股通),5.13
74,000028.SZ,HTHK/CMGFSGUFP-CMGFIRSTSTATECHINAGROWTHFD,2.68
78,000028.SZ,HTHK/CMG FSGUFP-CMG FIRST STATE CHINA GROWTH FD,2.68
36,000028.SZ,HTHK/CMG FSGUFP-CMG FIRSTSTATE CHINA GROWTH FD,2.68
50,000029.SZ,深圳市投资控股有限公司,63.55
27,000029.SZ,山金金控资本管理有限公司-山金金控稳健一号基金,1.02
26,000029.SZ,卢志高,0.32
86,000029.SZ,杨水莲,0.13
24,000029.SZ,谭石庆,0.13
99,000030.SZ,一汽股权投资(天津)有限公司,24.41
17,000030.SZ,吉林省天亿投资有限公司,18.31
13,000030.SZ,宁波华翔电子股份有限公司,13.95
36,000030.SZ,吉林省国有资本运营有限责任公司,10.03
2,000030.SZ,富奥汽车零部件股份有限公司回购专用证券账户,3.81
80,000031.SZ,Vibrant Oak Limited,53.8
