,TS代码,股票代码,股票名称,行业,市场类型
0,000001.SZ,000001,平安银行,银行,主板
1,000002.SZ,000002,万科A,全国地产,主板
2,000004.SZ,000004,国华网安,互联网,主板
3,000005.SZ,000005,世纪星源,环境保护,主板
4,000006.SZ,000006,深振业A,区域地产,主板
5,000007.SZ,000007,全新好,酒店餐饮,主板
6,000008.SZ,000008,神州高铁,运输设备,主板
7,000009.SZ,000009,中国宝安,综合类,主板
8,000010.SZ,000010,美丽生态,建筑工程,主板
9,000011.SZ,000011,深物业A,区域地产,主板
10,000012.SZ,000012,南玻A,玻璃,主板
11,000014.SZ,000014,沙河股份,全国地产,主板
12,000016.SZ,000016,深康佳A,家用电器,主板
13,000017.SZ,000017,*ST中华A,文教休闲,主板
14,000019.SZ,000019,深粮控股,其他商业,主板
15,000020.SZ,000020,深华发A,元器件,主板
16,000021.SZ,000021,深科技,IT设备,主板
17,000023.SZ,000023,深天地A,其他建材,主板
18,000025.SZ,000025,特力A,汽车服务,主板
19,000026.SZ,000026,飞亚达,其他商业,主板
20,000027.SZ,000027,深圳能源,火力发电,主板
21,000028.SZ,000028,国药一致,医药商业,主板
22,000029.SZ,000029,深深房A,区域地产,主板
23,000030.SZ,000030,富奥股份,汽车配件,主板
24,000031.SZ,000031,大悦城,全国地产,主板
25,000032.SZ,000032,深桑达A,元器件,主板
26,000034.SZ,000034,神州数码,综合类,主板
27,000035.SZ,000035,中国天楹,环境保护,主板
28,000036.SZ,000036,华联控股,全国地产,主板
29,000037.SZ,000037,深南电A,火力发电,主板
30,000038.SZ,000038,深大通,广告包装,主板
31,000039.SZ,000039,中集集团,轻工机械,主板
32,000040.SZ,000040,东旭蓝天,新型电力,主板
33,000042.SZ,000042,中洲控股,全国地产,主板
34,000045.SZ,000045,深纺织A,元器件,主板
35,000046.SZ,000046,泛海控股,多元金融,主板
36,000048.SZ,000048,京基智农,饲料,主板
37,000049.SZ,000049,德赛电池,电气设备,主板
38,000050.SZ,000050,深天马A,元器件,主板
39,000055.SZ,000055,方大集团,其他建材,主板
40,000056.SZ,000056,皇庭国际,房产服务,主板
41,000058.SZ,000058,深赛格,元器件,主板
42,000059.SZ,000059,华锦股份,石油加工,主板
43,000060.SZ,000060,中金岭南,铅锌,主板
44,000061.SZ,000061,农产品,农业综合,主板
45,000062.SZ,000062,深圳华强,批发业,主板
46,000063.SZ,000063,中兴通讯,通信设备,主板
47,000065.SZ,000065,北方国际,建筑工程,主板
48,000066.SZ,000066,中国长城,IT设备,主板
49,000068.SZ,000068,华控赛格,环境保护,主板
50,000069.SZ,000069,华侨城A,旅游景点,主板
51,000070.SZ,000070,特发信息,通信设备,主板
52,000078.SZ,000078,海王生物,医药商业,主板
53,000088.SZ,000088,盐田港,港口,主板
54,000089.SZ,000089,深圳机场,机场,主板
55,000090.SZ,000090,天健集团,建筑工程,主板
56,000096.SZ,000096,广聚能源,石油贸易,主板
57,000099.SZ,000099,中信海直,空运,主板
58,000100.SZ,000100,TCL科技,元器件,主板
59,000150.SZ,000150,宜华健康,医疗保健,主板
60,000151.SZ,000151,中成股份,商贸代理,主板
61,000153.SZ,000153,丰原药业,化学制药,主板
62,000155.SZ,000155,川能动力,新型电力,主板
63,000156.SZ,000156,华数传媒,影视音像,主板
64,000157.SZ,000157,中联重科,工程机械,主板
65,000158.SZ,000158,常山北明,纺织,主板
66,000159.SZ,000159,国际实业,石油贸易,主板
67,000166.SZ,000166,申万宏源,证券,主板
68,000301.SZ,000301,东方盛虹,化纤,主板
69,000333.SZ,000333,美的集团,家用电器,主板
70,000338.SZ,000338,潍柴动力,汽车配件,主板
71,000400.SZ,000400,许继电气,电气设备,主板
72,000401.SZ,000401,冀东水泥,水泥,主板
73,000402.SZ,000402,金融街,全国地产,主板
74,000403.SZ,000403,双林生物,生物制药,主板
75,000404.SZ,000404,长虹华意,专用机械,主板
76,000407.SZ,000407,胜利股份,供气供热,主板
77,000408.SZ,000408,*ST藏格,农药化肥,主板
78,000409.SZ,000409,ST地矿,综合类,主板
79,000410.SZ,000410,*ST沈机,机床制造,主板
80,000411.SZ,000411,英特集团,医药商业,主板
81,000413.SZ,000413,东旭光电,元器件,主板
82,000415.SZ,000415,渤海租赁,多元金融,主板
83,000416.SZ,000416,民生控股,多元金融,主板
84,000417.SZ,000417,合肥百货,百货,主板
85,000419.SZ,000419,通程控股,百货,主板
86,000420.SZ,000420,吉林化纤,化纤,主板
87,000421.SZ,000421,南京公用,供气供热,主板
88,000422.SZ,000422,ST宜化,农药化肥,主板
89,000423.SZ,000423,东阿阿胶,中成药,主板
